,,2010-066K,2010,1998-067UG,1998
,,2011-011B,2011,1998-068C,1998
,,2011-036B,2011,1998-071A,1998
,,2012-003B,2012,1998-071B,1998
,,2012-009B,2012,1998-075A,1998
,,2012-031B,2012,1999-001A,1999
,,2012-053B,2012,1999-001B,1999
,,2013-004B,2013,1999-003B,1999
,,2013-008B,2013,1999-005A,1999
,,2013-023B,2013,1999-008A,1999
,,2013-024B,2013,1999-008D,1999
,,2013-033B,2013,1999-017C,1999
,,2013-036B,2013,1999-017D,1999
,,2014-004B,2014,1999-017E,1999
,,2014-008B,2014,1999-017H,1999
,,2014-026B,2014,1999-020A,1999
,,2014-035B,2014,1999-023B,1999
,,2014-043D,2014,1999-024A,1999
,,2014-045B,2014,1999-026A,1999
,,2014-046B,2014,1999-026B,1999
,,2014-048B,2014,1999-031E,1999
,,2014-055B,2014,1999-034A,1999
,,2014-068B,2014,1999-035A,1999
,,2015-002B,2015,1999-040B,1999
,,2015-010C,2015,1999-040C,1999
,,2015-013B,2015,1999-040D,1999
,,2015-023B,2015,1999-041E,1999
,,2015-033B,2015,1999-050A,1999
,,2015-044B,2015,1999-051A,1999
,,2015-056B,2015,1999-055A,1999
,,2015-062B,2015,1999-056A,1999
,,2016-007B,2016,1999-059A,1999
,,2016-013B,2016,1999-063A,1999
,,2016-038C,2016,1999-063B,1999
,,2016-041B,2016,1999-067A,1999
,,2016-071B,2016,1999-067D,1999
,,2016-078J,2016,1999-068A,1999
,,2017-017B,2017,1999-070B,1999
,,2017-041B,2017,1999-070C,1999
,,2017-047B,2017,1999-070D,1999
,,2017-050E,2017,1999-071A,1999
,,2017-050G,2017,2000-001A,2000
,,2017-063B,2017,2000-001B,2000
,,2017-068H,2017,2000-002A,2000
,,2018-010B,2018,2000-004A,2000
,,2018-013B,2018,2000-004C,2000
,,2018-022B,2018,2000-004D,2000
,,2018-044B,2018,2000-004E,2000
,,2018-059B,2018,2000-004F,2000
,,2018-069B,2018,2000-007B,2000
,,2018-079B,2018,2000-014B,2000
,,2018-104C,2018,2000-016A,2000
,,2019-026C,2019,2000-017A,2000
,,2019-036G,2019,2000-017C,2000
,,2019-050B,2019,2000-017D,2000
,,2019-051C,2019,2000-017E,2000
,,2019-054B,2019,2000-017F,2000
,,2019-068B,2019,2000-020A,2000
,,2019-069B,2019,2000-022A,2000
,,2019-069C,2019,2000-024A,2000
,,2019-091B,2019,2000-024C,2000
,,2020-022C,2020,2000-025A,2000
,,2020-046E,2020,2000-030A,2000
,,2020-048B,2020,2000-030B,2000
,,2020-077M,2020,2000-034A,2000
,,2020-096B,2020,2000-034B,2000
,,2020-098B,2020,2000-035A,2000
,,2021-001B,2021,2000-038A,2000
,,2021-002H,2021,2000-040A,2000
,,2021-004B,2021,2000-043A,2000
,,2021-049B,2021,2000-047B,2000
,,2021-051B,2021,2000-051A,2000
,,2021-068C,2021,2000-055A,2000
,,2021-118C,2021,2000-055E,2000
,,2022-003H,2022,2000-055F,2000
,,2022-020B,2022,2000-055H,2000
,,2022-021B,2022,2000-061A,2000
,,2022-061B,2022,2000-061B,2000
,,2022-071B,2022,2000-065A,2000
,,2022-079B,2022,2000-071A,2000
,,2022-092B,2022,2000-072A,2000
,,2022-113C,2022,2000-075A,2000
,,,,2000-075D,2000
,,,,2000-075E,2000
,,,,2000-077A,2000
,,,,2000-080B,2000
,,,,2001-004A,2001
,,,,2001-009A,2001
,,,,2001-012A,2001
,,,,2001-018A,2001
,,,,2001-019A,2001
,,,,2001-026B,2001
,,,,2001-031A,2001
,,,,2001-033A,2001
,,,,2001-033C,2001
,,,,2001-043B,2001
,,,,2001-043C,2001
,,,,2001-043D,2001
,,,,2001-052A,2001
,,,,2001-055A,2001
,,,,2001-055B,2001
,,,,2001-055D,2001
,,,,2002-004A,2002
,,,,2002-004B,2002
,,,,2002-006A,2002
,,,,2002-011A,2002
,,,,2002-011B,2002
,,,,2002-022A,2002
,,,,2002-023A,2002
,,,,2002-030A,2002
,,,,2002-032A,2002
,,,,2002-034A,2002
,,,,2002-038B,2002
,,,,2002-039A,2002
,,,,2002-051B,2002
,,,,2002-055A,2002
,,,,2002-058E,2002
,,,,2003-001A,2003
,,,,2003-002B,2003
,,,,2003-004A,2003
,,,,2003-004B,2003
,,,,2003-005A,2003
